feature	AGE	T1.severity	DAYS_TREAT	DUR_ILLNESS_YRS	STAI_Y1.T1	STAI_Y1.T2	STAI_Y1.diff	STAI_Y2.T1	STAI_Y2.T2	STAI_Y2.diff	STAI_TOTAL.T1	STAI_TOTAL.T2	STAI_TOTAL.diff	PSS.T1	PSS.T2	PSS.diff	BMI.T1	BMI.T2	BMI.diff	Weight_kg.T1	Weight_kg.T2	Weight_kg.diff	BMI.gain.per.day
STAI_TOTAL.T1	-0.10537495514357	-0.1251188754774	-0.0849720752073732	-0.173063920055092	0.943883122692519	0.742984625462372	-0.235995225237141	0.937388839988907	0.807712431565932	-0.05959139717518	1	0.812413568739506	-0.180869196265159	0.783721317586371	0.665504152085943	0.0162868280130598	0.1251188754774	-0.0710748204519105	-0.140703841474655	0.110614238050888	-0.00988419359005437	-0.111237017772936	-0.0548254760902076
STAI_TOTAL.T2	-0.0327915543126634	-0.0818686539066182	-0.167615897542805	-0.328691920102106	0.810295566757729	0.960156794618904	0.275852136228576	0.698234455051208	0.954558337280882	0.459407586605849	0.812413568739506	1	0.426524373909203	0.548846525318774	0.75062344318883	0.35488813386021	0.0818686539066181	-0.128907278362695	-0.260118952845162	0.0585561693760629	-0.0915999385554376	-0.265779575612387	-0.0650887640845818
STAI_TOTAL.diff	-0.0206445033497218	-0.0392115543572003	-0.140585294825253	-0.165882282716502	-0.0922129223494338	0.46043253351854	0.864457508789832	-0.25483070648865	0.362344939171718	0.867339344765388	-0.180869196265159	0.426524373909203	1	-0.268728660045059	0.23907183011113	0.573339913834426	0.0392115543572004	-0.10797824843507	-0.180575045267079	0.026925917315405	-0.112396638992353	-0.242025551557555	0.043458913641971
PSS.T1	-0.223249929130475	-0.0714018715019839	0.111071836765802	-0.255414476065596	0.697960251796608	0.440152704015422	-0.24585732426175	0.787002554084731	0.565099911030577	-0.217479841032547	0.783721317586371	0.548846525318774	-0.268728660045059	1	0.574198189695681	-0.301825091152592	0.0714018715019838	0.0848768125515932	0.0706754322429851	0.113340265353431	0.15995643261229	0.12313315099711	0.0529162490063553
PSS.T2	-0.173928871311223	-0.160409851364861	-0.205415970574078	-0.415920808790894	0.573666175347823	0.6663631873948	0.185026460681758	0.591205917684642	0.780094859520818	0.334856908027702	0.665504152085943	0.75062344318883	0.23907183011113	0.574198189695681	1	0.607226700958766	0.160409851364861	-0.0461352118794698	-0.302364230899321	0.151209343595173	-0.0293985285791617	-0.289130364680062	-0.0808260635240394
PSS.diff	0.0414942254588486	-0.159645351258902	-0.304010725932551	0.0532046710908464	0.0246583903024065	0.358727094656721	0.460694048551265	-0.0829436397365578	0.362356021506305	0.637684730233062	0.0162868280130598	0.35488813386021	0.573339913834426	-0.301825091152592	0.607226700958766	1	0.159645351258902	-0.127683357781684	-0.368840502910566	0.102518267974019	-0.173318099744193	-0.407709061332382	-0.0293111837357849
BMI.T1	0.0079580414439239	-1	-0.367476185807031	0.401575634395576	0.0617480228697851	0.00817358668067497	0.0151356745239782	0.138766527419771	0.139075002984018	0.119245512384942	0.1251188754774	0.0818686539066181	0.0392115543572004	0.0714018715019838	0.160409851364861	0.159645351258902	1	0.690083675504064	-0.490414371109558	0.885163253538035	0.660005020852398	-0.541244439795713	-0.321525366140666
BMI.T2	-0.251885971590648	-0.690083675504064	0.280956201800477	0.124166960437296	-0.125798371213276	-0.21044613908392	-0.14747815709955	-0.00911482432184052	-0.067804465484093	-0.0701754733279171	-0.0710748204519105	-0.128907278362695	-0.10797824843507	0.0848768125515932	-0.0461352118794698	-0.127683357781684	0.690083675504064	1	0.292295702902114	0.613909130975294	0.847103661172578	0.192275299250291	-0.0218858456663085
BMI.diff	-0.166500591015771	0.490414371109558	0.827884169911144	-0.0820959017805277	-0.158998875779768	-0.276705323847312	-0.166775071775445	-0.0820655866562117	-0.260693578636747	-0.236609241230959	-0.140703841474655	-0.260118952845162	-0.180575045267079	0.0706754322429851	-0.302364230899321	-0.368840502910566	-0.490414371109558	0.292295702902114	1	-0.474321938590515	0.143726580573295	0.962178933550882	0.39850577924154
Weight_kg.T1	0.0552612623757218	-0.885163253538035	-0.381870624847679	0.335539088131661	0.0703776541205413	0.0407738128489347	0.0402565838113728	0.109715253381425	0.107573546891208	0.118504524996882	0.110614238050888	0.0585561693760629	0.026925917315405	0.113340265353431	0.151209343595173	0.102518267974019	0.885163253538035	0.613909130975294	-0.474321938590515	1	0.81328392184162	-0.512132931891813	-0.255465744873589
Weight_kg.T2	-0.135932232203593	-0.660005020852398	0.177063457035166	0.234674139576017	-0.026397641609608	-0.151507599098806	-0.187750783223894	0.0115309622081958	-0.040978966485992	-0.0328986156006819	-0.00988419359005437	-0.0915999385554376	-0.112396638992353	0.15995643261229	-0.0293985285791617	-0.173318099744193	0.660005020852398	0.847103661172578	0.143726580573295	0.81328392184162	1	0.083259736322275	-0.0825745238582511
Weight_kg.diff	-0.173557557814089	0.541244439795712	0.850626350499812	-0.094873683952403	-0.11215729923424	-0.268647847913153	-0.220238956857225	-0.0583117795409815	-0.26593806510963	-0.283655670982207	-0.111237017772936	-0.265779575612387	-0.242025551557555	0.12313315099711	-0.289130364680062	-0.407709061332382	-0.541244439795713	0.192275299250291	0.962178933550882	-0.512132931891813	0.083259736322275	1	0.325481397039181
BMI.gain.per.day	0.11653648296512	0.321525366140666	-0.0617209022065978	-0.100467559175004	-0.0654186115180981	-0.0872844355901844	0.0194597867649324	-0.0510967554323463	-0.0543246841049827	0.0593745646759851	-0.0548254760902076	-0.0650887640845818	0.043458913641971	0.0529162490063553	-0.0808260635240394	-0.0293111837357849	-0.321525366140666	-0.0218858456663085	0.39850577924154	-0.255465744873589	-0.0825745238582511	0.325481397039181	1
