feature	AGE	T1.severity	DAYS_TREAT	DUR_ILLNESS_YRS	STAI_Y1.T1	STAI_Y1.T2	STAI_Y1.diff	STAI_Y2.T1	STAI_Y2.T2	STAI_Y2.diff	STAI_TOTAL.T1	STAI_TOTAL.T2	STAI_TOTAL.diff	PSS.T1	PSS.T2	PSS.diff	BMI.T1	BMI.T2	BMI.diff	Weight_kg.T1	Weight_kg.T2	Weight_kg.diff
STAI_TOTAL.T1	-0.10537495514357	-0.1251188754774	-0.0849720752073732	-0.173063920055092	0.943883122692519	0.742984625462372	-0.235995225237141	0.937388839988907	0.806359967992796	-0.0603038945764162	1	0.79585987099422	-0.192442341062361	0.783721317586371	0.665504152085943	0.0162868280130598	0.1251188754774	-0.0699341286275819	-0.140703841474655	0.073578029460811	-0.00988419359005437	-0.0438718956783698
STAI_TOTAL.T2	-0.0170933882884057	-0.0808768290863247	-0.150712712638834	-0.270970878969597	0.787374370326417	0.899599052373525	0.240272825742511	0.690492939945499	0.946552592670893	0.457376192496533	0.79585987099422	1	0.441006241169816	0.54302031340754	0.75062344318883	0.35488813386021	0.0808768290863247	-0.110260203057235	-0.236849574503007	0.0109739066887885	-0.0885361172503496	-0.156007519833167
STAI_TOTAL.diff	0.0180555845191635	-0.0371824553978345	-0.0970700440558983	-0.0548586587316636	-0.117888394553309	0.356594891078118	0.739227966497491	-0.248287531189816	0.343131830146385	0.830662159813901	-0.192442341062361	0.441006241169816	1	-0.25988917782499	0.23907183011113	0.573339913834426	0.0371824553978345	-0.063533862354001	-0.123575031201863	0.0127578988538229	-0.100647708456486	-0.154276265689733
PSS.T1	-0.223249929130475	-0.0714018715019839	0.111071836765802	-0.255414476065596	0.697960251796608	0.440152704015422	-0.24585732426175	0.787002554084731	0.565134923544542	-0.217601103909767	0.783721317586371	0.54302031340754	-0.25988917782499	1	0.574198189695681	-0.301825091152592	0.0714018715019838	0.0882041499586534	0.0706754322429851	0.0879636134704821	0.15995643261229	0.144560156572538
PSS.T2	-0.173928871311223	-0.160409851364861	-0.205415970574078	-0.415920808790894	0.573666175347823	0.6663631873948	0.185026460681758	0.591205917684642	0.780094859520818	0.334856908027702	0.665504152085943	0.75062344318883	0.23907183011113	0.574198189695681	1	0.607226700958766	0.160409851364861	-0.0462409850879514	-0.302364230899321	0.152806788478576	-0.0293985285791617	-0.281243775848131
PSS.diff	0.0414942254588486	-0.159645351258902	-0.304010725932551	0.0532046710908464	0.0246583903024065	0.358727094656721	0.460694048551265	-0.0829436397365578	0.362356021506305	0.637684730233062	0.0162868280130598	0.35488813386021	0.573339913834426	-0.301825091152592	0.607226700958766	1	0.159645351258902	-0.131907287401265	-0.368840502910566	0.135148382060025	-0.173318099744193	-0.425689387294209
BMI.T1	0.0079580414439239	-1	-0.367476185807031	0.401575634395576	0.0617480228697851	0.00817358668067497	0.0151356745239782	0.138766527419771	0.139072079595884	0.11922512013461	0.1251188754774	0.0808768290863247	0.0371824553978345	0.0714018715019838	0.160409851364861	0.159645351258902	1	0.690083675504064	-0.490414371109558	0.885163253538035	0.660005020852398	-0.541244439795713
BMI.T2	-0.259835026093491	-0.690083675504064	0.281100270152102	0.0903589192015557	-0.125363815109002	-0.210308087569804	-0.149327370505388	-0.00716793132041762	-0.0673459143171924	-0.0692162429469668	-0.0699341286275819	-0.110260203057235	-0.063533862354001	0.0882041499586534	-0.0462409850879514	-0.131907287401265	0.690083675504064	1	0.292295702902114	0.613909130975294	0.847391338546794	0.192275299250291
BMI.diff	-0.166500591015771	0.490414371109558	0.827884169911144	-0.0820959017805277	-0.158998875779768	-0.276705323847312	-0.166775071775445	-0.0820655866562117	-0.258515808104848	-0.231689139604682	-0.140703841474655	-0.236849574503007	-0.123575031201863	0.0706754322429851	-0.302364230899321	-0.368840502910566	-0.490414371109558	0.292295702902114	1	-0.474321938590515	0.143726580573295	0.962178933550882
Weight_kg.T1	0.0836456970939819	-0.885163253538035	-0.380578540115548	0.37046184303418	0.0307065002623206	0.00888587733633677	0.0566758077325389	0.0849166211572589	0.0660040864860109	0.0893981221261332	0.073578029460811	0.0109739066887885	0.0127578988538229	0.0879636134704821	0.152806788478576	0.135148382060025	0.885163253538035	0.613909130975294	-0.474321938590515	1	0.800285108950802	-0.539549431815349
