feature	AGE	T1.severity	DAYS_TREAT	DUR_ILLNESS_YRS	STAI_Y1.T1	STAI_Y1.T2	STAI_Y1.diff	STAI_Y2.T1	STAI_Y2.T2	STAI_Y2.diff	STAI_TOTAL.T1	STAI_TOTAL.T2	STAI_TOTAL.diff	PSS.T1	PSS.T2	PSS.diff	BMI.T1	BMI.T2	BMI.diff	Weight_kg.T1	Weight_kg.T2	Weight_kg.diff
STAI_TOTAL.T1	0.32852238206524	0.253890954722349	0.474754069035269	0.292067939694832	4.44101401549676e-45	1.78155332121985e-13	0.049205952930046	5.31040754070406e-43	3.65985195322286e-17	0.619960923458088	NA	1.83045389765892e-16	0.110476463616313	4.1790421769639e-20	4.41985091036005e-10	0.894331181313057	0.253890954722349	0.565101508741521	0.24531394891985	0.498226580468377	0.934325215293883	0.714419950132341
STAI_TOTAL.T2	0.887486656102136	0.508853716942223	0.219901903536811	0.121122081355202	6.28695839544708e-16	2.97531415877856e-27	0.0451209732300465	3.7464114541106e-11	1.28319504163317e-36	6.87455249059785e-05	1.83045389765892e-16	NA	0.000132848797531008	1.19297673917991e-06	3.15902447439807e-14	0.00277052377214185	0.508853716942223	0.381917923635574	0.057483423440809	0.92762831842839	0.476178618983865	0.207423948981455
STAI_TOTAL.diff	0.883809576103904	0.766922618919328	0.438122892537705	0.769438853632666	0.331070324127457	0.00244511071611679	2.72456474364817e-13	0.0382194967237676	0.00363747891993155	5.86454973261595e-19	0.110476463616313	0.000132848797531008	NA	0.0298013498221967	0.0478846816130952	2.61898278380195e-07	0.766922618919328	0.620821506666236	0.334589918620882	0.917758186422506	0.425026216342596	0.219806474914653
PSS.T1	0.0263366373565348	0.489369875638785	0.323560339099552	0.0831398202202145	2.54165950367618e-16	4.39825079307327e-05	0.0279301822647333	2.28767197633878e-20	3.45451617646774e-07	0.0703654409110971	4.1790421769639e-20	1.19297673917991e-06	0.0298013498221967	NA	3.15462922963926e-08	0.00686599160013861	0.489369875638786	0.448642260525804	0.544061847161768	0.394087837148825	0.164644418668204	0.212795151358865
PSS.T2	0.122838220650971	0.160637173263484	0.0750543682473808	0.00760234713627268	3.27001353627416e-08	8.33049283776175e-12	0.102581115396184	8.86644464094886e-08	6.69332044242474e-16	0.00491734093252185	4.41985091036005e-10	3.15902447439807e-14	0.0478846816130952	3.15462922963926e-08	NA	2.97445905221901e-09	0.160637173263484	0.70177728908655	0.010382131764184	0.181672499978857	0.806346538675377	0.0175057042975159
PSS.diff	0.720111926713332	0.171268115818698	0.00845548578242886	0.754474307056538	0.829215391689912	0.00116879564963022	1.93457548949072e-05	0.498048412711439	0.00221578178574185	3.80222689502784e-09	0.894331181313057	0.00277052377214185	2.61898278380195e-07	0.00686599160013861	2.97445905221901e-09	NA	0.171268115818698	0.279956862636499	0.00181715383893293	0.247650835376647	0.151327604177979	0.000265782028863306
BMI.T1	0.933934738862242	0	0.00036668195806235	0.00287908200640298	0.547948256039933	0.943006473955336	0.896748145153269	0.205312947366197	0.25442654642039	0.34034206934143	0.253890954722349	0.508853716942223	0.766922618919328	0.489369875638786	0.160637173263484	0.171268115818698	NA	1.43122741157297e-13	1.42266914951972e-06	2.4188709139144e-37	4.77619474710248e-12	8.8800771727772e-08
BMI.T2	0.0150810455456176	1.43122741157297e-13	0.00835411620665219	0.57422638249665	0.277318626714218	0.0761987921052052	0.217278113235794	0.953038026326416	0.59401232011365	0.589864346891063	0.565101508741521	0.381917923635574	0.620821506666236	0.448642260525804	0.70177728908655	0.279956862636499	1.43122741157297e-13	NA	0.00601084690380909	4.16395245194933e-10	8.20847285824008e-25	0.0779118148754476
BMI.diff	0.123235975316918	1.42266914951972e-06	4.68731633265665e-23	0.609857773421028	0.167219635646361	0.0186239674819663	0.167616852805464	0.49942951993547	0.037592648174076	0.0676849588486257	0.24531394891985	0.057483423440809	0.334589918620882	0.544061847161768	0.010382131764184	0.00181715383893293	1.42266914951972e-06	0.00601084690380909	NA	4.52216187361606e-06	0.186758972491191	1.20790337371714e-48
Weight_kg.T1	0.382762789384959	2.4188709139144e-37	0.00021536064060741	0.00582470891707	0.76526522056944	0.938049153168215	0.626761019802748	0.434210180680365	0.584457460019388	0.468463193186341	0.498226580468377	0.92762831842839	0.917758186422506	0.394087837148825	0.181672499978857	0.247650835376647	2.4188709139144e-37	4.16395245194933e-10	4.52216187361606e-06	NA	1.41057994652323e-20	6.95039469192602e-08
Weight_kg.T2	0.206662721537576	4.77619474710248e-12	0.0988773635484349	0.13466817044982	0.818547479523559	0.200706986619631	0.116901187536483	0.92341397049562	0.741222061966911	0.796119090422055	0.934325215293883	0.476178618983865	0.425026216342596	0.164644418668204	0.806346538675377	0.151327604177979	4.77619474710248e-12	8.20847285824008e-25	0.186758972491191	1.41057994652323e-20	NA	0.501271822856529
Weight_kg.diff	0.0354394975853501	8.88007717277731e-08	1.63473325954368e-22	0.192997228863803	0.849959173642885	0.124909359084575	0.0512167211879743	0.841756206587111	0.157348169134587	0.153516538870431	0.714419950132341	0.207423948981455	0.219806474914653	0.212795151358865	0.0175057042975159	0.000265782028863306	8.8800771727772e-08	0.0779118148754476	1.20790337371714e-48	6.95039469192602e-08	0.501271822856529	NA
